Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","","SOD-123_Left",95.599752,-137.308514,105.000000,bottom
"D2","","SOD-123_Left",90.682194,-118.955925,105.000000,bottom
"D3","","SOD-123_Left",85.764631,-100.603334,105.000000,bottom
"D4","","SOD-123_Left",112.634931,-127.474295,105.000000,bottom
"D5","","SOD-123_Left",107.717368,-109.121704,105.000000,bottom
"D6","","SOD-123_Left",102.799810,-90.769116,105.000000,bottom
"D7","","SOD-123_Left",97.882247,-72.416526,105.000000,bottom
"D8","","SOD-123_Left",129.670105,-117.640073,105.000000,bottom
"D9","","SOD-123_Left",124.752546,-99.287487,105.000000,bottom
"D10","","SOD-123_Left",119.834983,-80.934894,105.000000,bottom
"D11","","SOD-123_Left",114.917423,-62.582301,105.000000,bottom
"D12","","SOD-123_Left",146.705285,-107.805853,105.000000,bottom
"D13","","SOD-123_Left",141.787720,-89.453261,105.000000,bottom
"D14","","SOD-123_Left",136.870158,-71.100671,105.000000,bottom
"D15","","SOD-123_Left",131.952596,-52.748083,105.000000,bottom
"D16","","SOD-123_Left",166.375291,-107.804948,105.000000,bottom
"D17","","SOD-123_Left",161.457724,-89.452358,105.000000,bottom
"D18","","SOD-123_Left",156.540166,-71.099767,105.000000,bottom
"D19","","SOD-123_Left",151.622603,-52.747176,105.000000,bottom
"D20","","SOD-123_Left",186.045295,-107.804048,105.000000,bottom
"D21","","SOD-123_Left",181.127733,-89.451455,105.000000,bottom
"D22","","SOD-123_Left",176.210168,-71.098867,105.000000,bottom
"D23","","SOD-123_Left",171.292608,-52.746277,105.000000,bottom
"D24","","SOD-123_Left",179.651652,-135.228651,90.000000,bottom
"D25","","SOD-123_Left",198.651651,-135.228654,90.000000,bottom
"D26","","SOD-123_Left",217.651649,-135.228650,90.000000,bottom
"D27","","SOD-123_Left",213.151650,-101.228652,90.000000,bottom
